"META","","","ESTRUCTURAL","","","","","","","LOCACIONAL","","","","","SEGURIDAD","","TCO","","","","","TARGET","",""
"SHV-0329","FincaRaíz","Arriendo","Apartamento","55","3","2","Sí","No","12","Fontibón","Modelia","4","4.658949","-74.143194","200","4.93","56000","178","116000","222000","394000","331600000","1440000","1440000"
"SHV-0330","Habi","Venta","Apartamento","57","2","2","Sí","No","14","Engativá","Santa Cecilia","3","4.680863","-74.12548","175","5.75","62000","162","108000","117000","287000","195200000","1080000","195200000"
"SHV-0331","Habi","Venta","Apartamento","109","4","3","No","No","22","Suba","Suba","4","4.740375","-74.112732","195","5.09","85000","254","116000","551000","752000","606400000","2860000","606400000"
"SHV-0332","UAECD-OTC","Arriendo","Apartamento","54","3","3","Sí","No","35","Barrios Unidos","12 de Octubre","4","4.671527","-74.094071","265","2.8","62000","144","95000","296000","453000","355800000","1980000","1980000"
"SHV-0333","Properati","Venta","Apartamento","116","3","2","Sí","Sí","33","Teusaquillo","Galerías","4","4.646131","-74.116105","300","1.65","100000","229","154000","506000","760000","833600000","3680000","833600000"
"SHV-0334","FincaRaíz","Venta","Apartamento","76","3","3","No","No","52","Los Mártires","Ricaurte","3","4.613249","-74.112926","280","2.31","42000","155","91000","235000","368000","235200000","1030000","235200000"
"SHV-0335","Metrocuadrado","Venta","Apartamento","53","2","1","No","No","60","Antonio Nariño","Restrepo","3","4.583514","-74.08034","220","4.27","60000","126","102000","167000","329000","165100000","820000","165100000"
"SHV-0336","FincaRaíz","Venta","Apartamento","41","1","1","No","No","50","Puente Aranda","Ciudad Montes","3","4.623002","-74.087065","245","3.45","49000","139","70000","86000","205000","165800000","670000","165800000"
"SHV-0337","Properati","Arriendo","Apartamento","91","2","2","Sí","Sí","36","La Candelaria","La Candelaria","3","4.580411","-74.08077","310","1.33","59000","163","91000","205000","355000","335000000","1490000","1490000"
"SHV-0338","UAECD-OTC","Venta","Apartamento","66","3","2","Sí","Sí","42","Rafael Uribe Uribe","Quiroga","3","4.562221","-74.111715","200","4.93","47000","179","115000","170000","332000","291000000","1590000","291000000"
"SHV-0339","Properati","Venta","Apartamento","58","2","1","Sí","No","20","Ciudad Bolívar","Tesoro","2","4.550328","-74.157182","170","5.91","38000","140","92000","10000","140000","123000000","700000","123000000"
"SHV-0340","UAECD-OTC","Venta","Apartamento","25","2","1","No","No","17","Sumapaz","Sumapaz","1","4.258262","-74.358467","45","10","29000","71","26000","9000","64000","43700000","180000","43700000"
"SHV-0341","UAECD-OTC","Venta","Apartamento","192","2","1","Sí","Sí","12","Usaquén","Usaquén","6","4.699051","-74.007971","180","5.58","262000","508","510000","2009000","2781000","2397900000","13820000","2397900000"
"SHV-0342","Properati","Arriendo","Apartamento","69","2","1","Sí","No","45","Chapinero","Chapinero","3","4.648238","-74.081659","320","1","69000","136","96000","228000","393000","258300000","1450000","1450000"
"SHV-0343","Properati","Arriendo","Apartamento","38","3","2","No","No","48","Santa Fe","Las Cruces","3","4.589063","-74.067961","290","1.98","52000","111","62000","107000","221000","160800000","920000","920000"
"SHV-0344","Properati","Arriendo","Apartamento","31","3","3","No","No","49","San Cristóbal","Los Libertadores","1","4.562888","-74.065908","210","4.6","28000","88","50000","40000","118000","49400000","270000","270000"
"SHV-0345","Habi","Venta","Apartamento","46","3","2","No","No","17","Usme","La Flora","2","4.467131","-74.126478","140","6.89","38000","104","49000","8000","95000","119600000","640000","119600000"
"SHV-0346","UAECD-OTC","Venta","Apartamento","54","3","3","No","No","31","Tunjuelito","Venecia","3","4.555354","-74.157086","190","5.25","45000","135","57000","161000","263000","196000000","990000","196000000"
"SHV-0347","UAECD-OTC","Arriendo","Apartamento","49","2","2","No","No","13","Bosa","Apogeo","1","4.636584","-74.223402","160","6.24","33000","131","69000","22000","124000","76800000","410000","410000"
"SHV-0348","Habi","Venta","Apartamento","61","2","2","No","No","15","Kennedy","Calandaima","2","4.605319","-74.157766","230","3.95","41000","117","53000","91000","185000","130900000","760000","130900000"
"SHV-0349","Metrocuadrado","Venta","Apartamento","89","3","3","Sí","No","23","Fontibón","Granjas de Techo","4","4.662867","-74.133963","200","4.93","71000","227","150000","393000","614000","653900000","2750000","653900000"
"SHV-0350","Metrocuadrado","Venta","Apartamento","64","2","2","Sí","No","39","Engativá","Santa Cecilia","3","4.686919","-74.108833","175","5.75","74000","140","66000","203000","343000","254800000","1180000","254800000"
"SHV-0351","Properati","Arriendo","Casa","68","2","1","No","No","12","Suba","Suba","2","4.729322","-74.080997","195","5.09","48000","133","87000","0","135000","173300000","720000","720000"
"SHV-0352","FincaRaíz","Arriendo","Apartamento","70","1","1","Sí","No","29","Barrios Unidos","Alcázares","3","4.668765","-74.05642","265","2.8","49000","125","71000","227000","347000","220100000","1300000","1300000"
"SHV-0353","Properati","Venta","Apartamento","102","4","3","Sí","No","60","Teusaquillo","Teusaquillo","4","4.614967","-74.100792","300","1.65","76000","183","150000","532000","758000","585900000","2870000","585900000"
"SHV-0354","Properati","Venta","Apartamento","56","1","1","Sí","No","60","Los Mártires","Ricaurte","2","4.605984","-74.067752","280","2.31","42000","147","81000","0","123000","130000000","700000","130000000"
"SHV-0355","UAECD-OTC","Arriendo","Apartamento","66","2","2","No","No","60","Antonio Nariño","Antonio Nariño","2","4.601241","-74.124156","220","4.27","38000","161","82000","94000","214000","138500000","790000","790000"
"SHV-0356","FincaRaíz","Venta","Apartamento","49","2","1","No","No","36","Puente Aranda","Muzú","3","4.600709","-74.106251","245","3.45","33000","119","71000","133000","237000","178700000","1070000","178700000"
"SHV-0357","Properati","Venta","Apartamento","61","2","1","Sí","No","60","La Candelaria","La Candelaria","3","4.609211","-74.070346","310","1.33","60000","139","93000","169000","322000","248300000","1070000","248300000"
"SHV-0358","UAECD-OTC","Arriendo","Casa","52","3","2","No","No","60","Rafael Uribe Uribe","Marco Fidel Suárez","2","4.575981","-74.128964","200","4.93","39000","107","78000","18000","135000","133800000","750000","750000"
"SHV-0359","Habi","Venta","Apartamento","49","3","3","No","No","10","Ciudad Bolívar","Tesoro","2","4.515963","-74.177273","170","5.91","54000","113","72000","31000","157000","103900000","600000","103900000"
"SHV-0360","Habi","Venta","Casa","50","2","1","No","No","24","Sumapaz","Sumapaz","1","4.284517","-74.357034","45","10","33000","130","35000","0","68000","86500000","350000","86500000"
"SHV-0361","Habi","Venta","Apartamento","185","4","4","Sí","Sí","21","Usaquén","La Uribe","5","4.718258","-74.01808","180","5.58","219000","383","318000","1408000","1945000","1656300000","9120000","1656300000"
"SHV-0362","FincaRaíz","Venta","Apartamento","114","3","3","Sí","No","26","Chapinero","Chico Lago","4","4.640307","-74.083097","320","1","89000","238","181000","483000","753000","740700000","3490000","740700000"
"SHV-0363","Habi","Venta","Apartamento","37","2","2","Sí","No","9","Santa Fe","Lourdes","3","4.58282","-74.067009","290","1.98","30000","107","59000","114000","203000","167200000","890000","167200000"
"SHV-0364","Habi","Arriendo","Apartamento","47","2","2","No","No","40","San Cristóbal","Los Libertadores","1","4.562906","-74.080362","210","4.6","41000","94","36000","22000","99000","75500000","380000","380000"
"SHV-0365","Properati","Venta","Casa","64","1","1","Sí","No","21","Usme","Comuneros","2","4.498591","-74.123411","140","6.89","46000","122","55000","11000","112000","135000000","610000","135000000"
"SHV-0366","UAECD-OTC","Venta","Apartamento","62","2","1","Sí","No","34","Tunjuelito","Tunjuelito","3","4.546155","-74.124346","190","5.25","46000","171","62000","148000","256000","266600000","1140000","266600000"
"SHV-0367","UAECD-OTC","Venta","Casa","43","3","2","No","Sí","9","Bosa","El Porvenir","1","4.618188","-74.217069","160","6.24","33000","114","66000","0","99000","80000000","340000","80000000"
"SHV-0368","UAECD-OTC","Arriendo","Apartamento","41","3","2","No","No","43","Kennedy","Calandaima","2","4.632023","-74.171215","230","3.95","49000","92","62000","56000","167000","87700000","370000","370000"
"SHV-0369","Properati","Arriendo","Apartamento","44","3","3","No","No","17","Fontibón","Aeropuerto","3","4.65692","-74.156254","200","4.93","48000","101","62000","144000","254000","137700000","730000","730000"
"SHV-0370","Properati","Arriendo","Apartamento","89","3","2","No","No","35","Engativá","Engativá","4","4.699508","-74.114405","175","5.75","93000","193","120000","444000","657000","485700000","2280000","2280000"
"SHV-0371","FincaRaíz","Venta","Casa","60","1","1","No","No","16","Suba","Andes","2","4.735534","-74.107059","195","5.09","46000","142","84000","25000","155000","131800000","580000","131800000"
"SHV-0372","Properati","Venta","Apartamento","77","1","1","No","Sí","44","Barrios Unidos","12 de Octubre","4","4.663006","-74.069115","265","2.8","87000","158","144000","395000","626000","421800000","2270000","421800000"
"SHV-0373","UAECD-OTC","Venta","Apartamento","135","3","2","Sí","Sí","32","Teusaquillo","Nicolás de Federmán","5","4.628204","-74.113402","300","1.65","171000","311","198000","880000","1249000","1352200000","7270000","1352200000"
"SHV-0374","Metrocuadrado","Venta","Apartamento","102","2","2","Sí","No","40","Los Mártires","La Sabana","3","4.62966","-74.074033","280","2.31","60000","184","106000","207000","373000","347700000","1770000","347700000"
"SHV-0375","Habi","Venta","Apartamento","83","2","2","No","No","42","Antonio Nariño","Restrepo","3","4.562397","-74.103579","220","4.27","50000","139","135000","190000","375000","249100000","1460000","249100000"
"SHV-0376","Metrocuadrado","Venta","Apartamento","92","3","2","Sí","Sí","41","Puente Aranda","Puente Aranda","4","4.639799","-74.08752","245","3.45","110000","232","167000","373000","650000","515900000","2460000","515900000"
"SHV-0377","Properati","Venta","Apartamento","85","3","3","No","No","60","La Candelaria","La Candelaria","3","4.593299","-74.095376","310","1.33","76000","212","96000","272000","444000","267200000","1520000","267200000"
"SHV-0378","Properati","Venta","Apartamento","40","2","2","No","No","60","Rafael Uribe Uribe","Marruecos","2","4.547888","-74.102746","200","4.93","44000","102","72000","28000","144000","82400000","340000","82400000"
"SHV-0379","Habi","Venta","Casa","63","2","1","No","No","19","Ciudad Bolívar","El Mochuelo","1","4.540393","-74.163789","170","5.91","38000","149","44000","4000","86000","108900000","600000","108900000"
"SHV-0380","UAECD-OTC","Venta","Apartamento","52","2","2","No","No","34","Sumapaz","Sumapaz","1","4.250422","-74.369527","45","10","20000","133","35000","6000","61000","99400000","590000","99400000"
"SHV-0381","Properati","Venta","Apartamento","132","3","2","Sí","Sí","18","Usaquén","Toberín","5","4.705964","-74.032827","180","5.58","198000","331","321000","952000","1471000","1358500000","7730000","1358500000"
"SHV-0382","Properati","Venta","Apartamento","53","2","2","Sí","No","39","Chapinero","Chapinero","3","4.653053","-74.059721","320","1","54000","158","59000","133000","246000","211400000","1090000","211400000"
"SHV-0383","Habi","Venta","Apartamento","32","2","1","No","No","60","Santa Fe","Lourdes","2","4.584165","-74.089366","290","1.98","27000","86","43000","47000","117000","62500000","330000","62500000"
"SHV-0384","Metrocuadrado","Venta","Apartamento","40","2","2","Sí","No","26","San Cristóbal","20 de Julio","2","4.547573","-74.073102","210","4.6","45000","126","43000","2000","90000","83900000","390000","83900000"
"SHV-0385","Properati","Venta","Apartamento","49","2","2","No","No","8","Usme","Comuneros","1","4.479169","-74.111421","140","6.89","31000","109","70000","12000","113000","91900000","490000","91900000"
"SHV-0386","Metrocuadrado","Arriendo","Apartamento","67","3","3","No","No","44","Tunjuelito","Tunjuelito","3","4.577495","-74.160562","190","5.25","74000","192","96000","149000","319000","275400000","1530000","1530000"
"SHV-0387","UAECD-OTC","Venta","Apartamento","50","2","2","No","No","13","Bosa","Apogeo","1","4.633735","-74.186133","160","6.24","44000","91","68000","31000","143000","79600000","480000","79600000"
"SHV-0388","UAECD-OTC","Arriendo","Casa","55","2","1","No","No","42","Kennedy","Carvajal","2","4.63453","-74.186537","230","3.95","34000","141","80000","43000","157000","110300000","550000","550000"
"SHV-0389","Habi","Venta","Casa","77","1","1","No","No","32","Fontibón","Aeropuerto","3","4.685791","-74.124787","200","4.93","67000","200","125000","113000","305000","315700000","1300000","315700000"
"SHV-0390","Properati","Venta","Apartamento","77","2","2","Sí","Sí","47","Engativá","Santa Cecilia","4","4.686714","-74.129622","175","5.75","65000","170","149000","372000","586000","560800000","2910000","560800000"
"SHV-0391","Properati","Venta","Apartamento","43","2","1","No","No","34","Suba","Suba","2","4.730181","-74.085981","195","5.09","23000","126","50000","55000","128000","102700000","440000","102700000"
"SHV-0392","Properati","Venta","Apartamento","51","2","2","No","No","42","Barrios Unidos","12 de Octubre","3","4.663903","-74.073073","265","2.8","50000","126","95000","143000","288000","215800000","970000","215800000"
"SHV-0393","FincaRaíz","Venta","Casa","84","3","2","No","No","60","Teusaquillo","Galerías","4","4.654905","-74.08374","300","1.65","77000","231","156000","0","233000","595400000","2770000","595400000"
"SHV-0394","Habi","Venta","Apartamento","33","1","1","No","No","56","Los Mártires","La Sabana","3","4.58711","-74.091533","280","2.31","35000","126","83000","108000","226000","138200000","750000","138200000"
"SHV-0395","Metrocuadrado","Arriendo","Apartamento","42","2","1","No","No","46","Antonio Nariño","Antonio Nariño","2","4.588054","-74.100003","220","4.27","27000","89","41000","59000","127000","109000000","480000","480000"
"SHV-0396","UAECD-OTC","Venta","Apartamento","74","3","2","No","Sí","36","Puente Aranda","Puente Aranda","4","4.610728","-74.117183","245","3.45","98000","187","155000","330000","583000","511900000","2220000","511900000"
"SHV-0397","UAECD-OTC","Venta","Casa","50","2","1","No","No","54","La Candelaria","La Candelaria","3","4.594796","-74.057282","310","1.33","62000","124","101000","59000","222000","208000000","850000","208000000"
"SHV-0398","Habi","Arriendo","Apartamento","56","2","2","No","No","28","Rafael Uribe Uribe","Quiroga","2","4.549063","-74.128132","200","4.93","26000","152","83000","21000","130000","130100000","750000","750000"
"SHV-0399","Metrocuadrado","Arriendo","Apartamento","39","2","1","No","No","13","Ciudad Bolívar","Arborizadora","1","4.530921","-74.184131","170","5.91","34000","120","51000","51000","136000","73200000","390000","390000"
"SHV-0400","Habi","Venta","Casa","52","2","1","No","No","22","Sumapaz","Sumapaz","1","4.270837","-74.349427","45","10","20000","111","55000","0","75000","96100000","390000","96100000"
"SHV-0401","UAECD-OTC","Venta","Apartamento","95","2","2","Sí","Sí","30","Usaquén","Usaquén","4","4.727811","-74.035899","180","5.58","97000","207","110000","505000","712000","583900000","2370000","583900000"
"SHV-0402","Properati","Venta","Apartamento","144","3","3","Sí","Sí","21","Chapinero","El Refugio","5","4.657173","-74.072332","320","1","165000","364","236000","982000","1383000","1087500000","5570000","1087500000"
"SHV-0403","Properati","Venta","Apartamento","74","2","2","Sí","No","49","Santa Fe","Sagrado Corazón","3","4.622732","-74.066669","290","1.98","47000","194","105000","151000","303000","220800000","1010000","220800000"
"SHV-0404","Metrocuadrado","Venta","Apartamento","76","1","1","Sí","No","26","San Cristóbal","20 de Julio","2","4.566302","-74.095178","210","4.6","68000","155","80000","16000","164000","172000000","890000","172000000"
"SHV-0405","Properati","Arriendo","Apartamento","47","2","2","No","No","10","Usme","Comuneros","1","4.467636","-74.151543","140","6.89","42000","104","67000","15000","124000","81100000","390000","390000"
"SHV-0406","FincaRaíz","Arriendo","Casa","75","3","3","No","No","46","Tunjuelito","Tunjuelito","3","4.561845","-74.120009","190","5.25","49000","160","129000","0","178000","241400000","1410000","1410000"
"SHV-0407","Metrocuadrado","Venta","Apartamento","32","1","1","No","No","17","Bosa","Bosa Central","1","4.611464","-74.194784","160","6.24","33000","102","47000","44000","124000","52600000","240000","52600000"
"SHV-0408","Metrocuadrado","Arriendo","Apartamento","81","4","3","No","No","54","Kennedy","Américas","3","4.622189","-74.153863","230","3.95","81000","163","69000","278000","428000","316800000","1700000","1700000"
"SHV-0409","FincaRaíz","Venta","Apartamento","79","3","3","No","Sí","18","Fontibón","Granjas de Techo","3","4.677636","-74.157537","200","4.93","75000","203","121000","191000","387000","341600000","1400000","341600000"
"SHV-0410","Habi","Arriendo","Apartamento","78","3","2","No","Sí","17","Engativá","Garcés Navas","4","4.718971","-74.132989","175","5.75","83000","180","145000","331000","559000","485500000","2870000","2870000"
"SHV-0411","Habi","Arriendo","Apartamento","97","3","2","Sí","Sí","17","Suba","Andes","5","4.75722","-74.081076","195","5.09","106000","253","235000","643000","984000","733300000","4370000","4370000"
"SHV-0412","Habi","Venta","Apartamento","62","4","4","No","No","0","Barrios Unidos","Alcázares","4","4.646112","-74.098109","265","2.8","72000","159","147000","282000","501000","379700000","2080000","379700000"
"SHV-0413","Metrocuadrado","Venta","Casa","88","3","2","No","No","49","Teusaquillo","Teusaquillo","4","4.642651","-74.103621","300","1.65","63000","226","144000","123000","330000","558500000","2750000","558500000"
"SHV-0414","Properati","Venta","Casa","54","3","3","Sí","No","60","Los Mártires","La Sabana","3","4.594089","-74.073408","280","2.31","57000","163","102000","0","159000","166500000","740000","166500000"
"SHV-0415","FincaRaíz","Venta","Apartamento","91","2","1","Sí","No","34","Antonio Nariño","Antonio Nariño","3","4.566224","-74.115843","220","4.27","43000","222","136000","303000","482000","324200000","1820000","324200000"
"SHV-0416","Properati","Arriendo","Casa","43","3","2","Sí","No","28","Puente Aranda","Puente Aranda","3","4.643806","-74.124226","245","3.45","33000","101","72000","27000","132000","174200000","950000","950000"
"SHV-0417","Habi","Venta","Casa","98","2","1","No","No","60","La Candelaria","La Candelaria","3","4.574653","-74.07215","310","1.33","71000","168","132000","0","203000","307200000","1370000","307200000"
"SHV-0418","Metrocuadrado","Venta","Apartamento","60","2","1","No","No","18","Rafael Uribe Uribe","Quiroga","3","4.550545","-74.084597","200","4.93","66000","136","69000","182000","317000","215300000","1060000","215300000"
"SHV-0419","Properati","Arriendo","Apartamento","65","2","1","No","No","19","Ciudad Bolívar","Arborizadora","2","4.552926","-74.161039","170","5.91","65000","139","65000","65000","195000","158400000","780000","780000"
"SHV-0420","Properati","Venta","Casa","54","2","1","No","No","25","Sumapaz","Sumapaz","1","4.248661","-74.382569","45","10","35000","106","61000","0","96000","97700000","550000","97700000"
"SHV-0421","UAECD-OTC","Venta","Apartamento","149","2","1","Sí","Sí","23","Usaquén","Toberín","5","4.683625","-74.020012","180","5.58","189000","241","309000","1167000","1665000","1407800000","7560000","1407800000"
"SHV-0422","FincaRaíz","Venta","Apartamento","72","2","1","Sí","No","23","Chapinero","El Refugio","4","4.670021","-74.075692","320","1","94000","193","105000","309000","508000","420500000","2220000","420500000"
"SHV-0423","FincaRaíz","Venta","Apartamento","38","2","2","No","Sí","48","Santa Fe","La Macarena","2","4.599012","-74.067615","290","1.98","43000","84","38000","29000","110000","96600000","510000","96600000"
"SHV-0424","FincaRaíz","Arriendo","Apartamento","32","2","1","No","No","45","San Cristóbal","La Gloria","1","4.574078","-74.093852","210","4.6","15000","105","53000","33000","101000","51400000","230000","230000"
"SHV-0425","FincaRaíz","Arriendo","Casa","45","1","1","No","No","6","Usme","La Flora","1","4.492975","-74.138753","140","6.89","33000","87","55000","0","88000","70200000","330000","330000"
"SHV-0426","FincaRaíz","Venta","Apartamento","56","3","2","No","No","25","Tunjuelito","Venecia","3","4.586271","-74.138178","190","5.25","52000","139","89000","155000","296000","240500000","980000","240500000"
"SHV-0427","Metrocuadrado","Venta","Casa","55","1","1","No","No","15","Bosa","El Porvenir","1","4.621364","-74.191639","160","6.24","21000","133","55000","0","76000","79800000","440000","79800000"
"SHV-0428","Properati","Arriendo","Apartamento","68","2","1","No","No","22","Kennedy","Américas","2","4.622246","-74.183276","230","3.95","32000","166","52000","53000","137000","175900000","860000","860000"
"SHV-0429","Metrocuadrado","Arriendo","Casa","56","3","2","No","No","32","Fontibón","Fontibón","3","4.670813","-74.137781","200","4.93","33000","142","76000","0","109000","223400000","1090000","1090000"
"SHV-0430","Habi","Arriendo","Apartamento","103","3","2","Sí","No","30","Engativá","Engativá","4","4.676292","-74.135166","175","5.75","98000","240","192000","539000","829000","538900000","2420000","2420000"
"SHV-0431","Properati","Venta","Apartamento","62","2","2","No","No","7","Suba","Casa Blanca Suba","2","4.722756","-74.10646","195","5.09","60000","138","86000","86000","232000","127300000","560000","127300000"
"SHV-0432","Metrocuadrado","Venta","Apartamento","46","2","1","No","No","54","Barrios Unidos","12 de Octubre","3","4.663094","-74.100177","265","2.8","36000","118","81000","148000","265000","156100000","810000","156100000"
"SHV-0433","Metrocuadrado","Arriendo","Apartamento","97","3","2","Sí","Sí","49","Teusaquillo","Galerías","5","4.618133","-74.077619","300","1.65","95000","276","297000","649000","1041000","799500000","3570000","3570000"
"SHV-0434","FincaRaíz","Arriendo","Apartamento","45","3","3","No","No","47","Los Mártires","Ricaurte","2","4.60982","-74.088337","280","2.31","46000","132","61000","42000","149000","97100000","400000","400000"
"SHV-0435","FincaRaíz","Arriendo","Apartamento","46","4","3","Sí","No","31","Antonio Nariño","Restrepo","3","4.576906","-74.100618","220","4.27","52000","147","85000","147000","284000","204600000","1130000","1130000"
"SHV-0436","Metrocuadrado","Venta","Casa","46","2","1","Sí","No","30","Puente Aranda","Puente Aranda","3","4.629535","-74.13169","245","3.45","56000","114","68000","0","124000","157700000","750000","157700000"
"SHV-0437","UAECD-OTC","Venta","Apartamento","80","1","1","Sí","Sí","14","La Candelaria","La Candelaria","3","4.588852","-74.09207","310","1.33","40000","187","81000","280000","401000","341900000","1630000","341900000"
"SHV-0438","Metrocuadrado","Arriendo","Apartamento","69","1","1","No","No","30","Rafael Uribe Uribe","Marco Fidel Suárez","3","4.57467","-74.089315","200","4.93","38000","185","82000","188000","308000","244700000","1190000","1190000"
"SHV-0439","Properati","Venta","Casa","48","2","1","No","No","27","Ciudad Bolívar","Arborizadora","1","4.512352","-74.180097","170","5.91","27000","135","46000","0","73000","93800000","530000","93800000"
"SHV-0440","Properati","Arriendo","Apartamento","59","2","1","No","No","24","Sumapaz","Sumapaz","1","4.287741","-74.366317","45","10","39000","152","56000","11000","106000","104300000","480000","480000"
"SHV-0441","Metrocuadrado","Arriendo","Apartamento","77","4","3","Sí","Sí","17","Usaquén","Toberín","5","4.722903","-74.008408","180","5.58","131000","275","203000","498000","832000","742000000","4090000","4090000"
"SHV-0442","Habi","Arriendo","Apartamento","202","4","3","Sí","Sí","31","Chapinero","Chico Lago","6","4.657009","-74.055927","320","1","225000","491","303000","1731000","2259000","2511200000","14760000","14760000"
"SHV-0443","FincaRaíz","Venta","Casa","62","2","1","No","No","60","Santa Fe","Lourdes","2","4.62101","-74.07248","290","1.98","39000","144","55000","0","94000","137500000","730000","137500000"
"SHV-0444","UAECD-OTC","Arriendo","Apartamento","65","1","1","No","No","13","San Cristóbal","Los Libertadores","2","4.538641","-74.080411","210","4.6","46000","156","66000","39000","151000","143700000","700000","700000"
"SHV-0445","UAECD-OTC","Venta","Apartamento","40","2","2","No","No","15","Usme","Gran Yomasa","1","4.496079","-74.140012","140","6.89","40000","122","47000","23000","110000","73700000","410000","73700000"
"SHV-0446","Metrocuadrado","Venta","Apartamento","75","1","1","No","No","48","Tunjuelito","Venecia","2","4.55696","-74.128654","190","5.25","56000","161","61000","15000","132000","182500000","900000","182500000"
"SHV-0447","Properati","Venta","Apartamento","64","2","1","No","No","16","Bosa","El Porvenir","1","4.636422","-74.219903","160","6.24","32000","151","52000","55000","139000","121900000","590000","121900000"
"SHV-0448","Metrocuadrado","Venta","Apartamento","35","2","2","No","No","43","Kennedy","Timiza","3","4.642191","-74.180783","230","3.95","35000","122","75000","112000","222000","135100000","680000","135100000"
"SHV-0449","FincaRaíz","Venta","Apartamento","102","3","2","Sí","Sí","21","Fontibón","Fontibón","4","4.656043","-74.144412","200","4.93","94000","205","121000","420000","635000","541500000","2510000","541500000"
"SHV-0450","FincaRaíz","Venta","Casa","62","2","1","No","No","28","Engativá","Santa Cecilia","3","4.676104","-74.113623","175","5.75","38000","141","98000","48000","184000","223400000","940000","223400000"
"SHV-0451","FincaRaíz","Venta","Apartamento","128","3","2","Sí","No","14","Suba","Suba","5","4.749361","-74.108551","195","5.09","125000","254","333000","1001000","1459000","1152400000","5570000","1152400000"
"SHV-0452","Properati","Venta","Apartamento","51","3","3","Sí","No","28","Barrios Unidos","Alcázares","3","4.673505","-74.06742","265","2.8","53000","118","93000","118000","264000","176300000","750000","176300000"
"SHV-0453","Metrocuadrado","Venta","Apartamento","107","2","1","Sí","Sí","39","Teusaquillo","Galerías","4","4.645913","-74.093407","300","1.65","95000","195","138000","507000","740000","837100000","4040000","837100000"
"SHV-0454","FincaRaíz","Arriendo","Casa","67","2","1","No","Sí","60","Los Mártires","Ricaurte","3","4.593859","-74.110268","280","2.31","41000","131","69000","0","110000","277200000","1420000","1420000"
"SHV-0455","Habi","Venta","Apartamento","71","2","2","Sí","No","60","Antonio Nariño","Antonio Nariño","2","4.569901","-74.121063","220","4.27","29000","171","57000","20000","106000","167000000","980000","167000000"
"SHV-0456","UAECD-OTC","Arriendo","Apartamento","89","4","3","Sí","No","30","Puente Aranda","Ciudad Montes","4","4.615354","-74.111791","245","3.45","79000","162","113000","366000","558000","541800000","2210000","2210000"
"SHV-0457","Habi","Arriendo","Apartamento","76","2","2","No","No","60","La Candelaria","La Candelaria","3","4.575195","-74.06821","310","1.33","69000","186","118000","198000","385000","253000000","1330000","1330000"
"SHV-0458","Metrocuadrado","Venta","Casa","55","2","1","No","No","33","Rafael Uribe Uribe","Marco Fidel Suárez","2","4.535009","-74.086909","200","4.93","43000","112","57000","0","100000","112300000","550000","112300000"
"SHV-0459","Habi","Arriendo","Casa","65","2","1","No","No","28","Ciudad Bolívar","Arborizadora","2","4.523765","-74.179851","170","5.91","55000","121","76000","0","131000","152300000","620000","620000"
"SHV-0460","Properati","Venta","Apartamento","40","2","2","No","Sí","24","Sumapaz","Sumapaz","1","4.263081","-74.36701","45","10","38000","92","44000","22000","104000","71200000","320000","71200000"
"SHV-0461","Metrocuadrado","Arriendo","Apartamento","105","4","3","Sí","Sí","11","Usaquén","La Uribe","5","4.682057","-74.012164","180","5.58","164000","256","216000","787000","1167000","820800000","3480000","3480000"
"SHV-0462","Habi","Arriendo","Apartamento","72","3","2","Sí","No","46","Chapinero","El Refugio","3","4.642524","-74.07835","320","1","74000","161","107000","237000","418000","231500000","1030000","1030000"
"SHV-0463","FincaRaíz","Venta","Apartamento","54","4","3","Sí","No","44","Santa Fe","Lourdes","2","4.600642","-74.067798","290","1.98","31000","138","54000","57000","142000","123000000","560000","123000000"
"SHV-0464","UAECD-OTC","Arriendo","Casa","60","3","2","No","No","60","San Cristóbal","Los Libertadores","1","4.571299","-74.101628","210","4.6","49000","151","71000","0","120000","111300000","530000","530000"
"SHV-0465","Metrocuadrado","Venta","Apartamento","59","3","2","No","No","14","Usme","Gran Yomasa","2","4.500895","-74.120952","140","6.89","42000","132","63000","47000","152000","124000000","630000","124000000"
"SHV-0466","Habi","Arriendo","Apartamento","66","3","3","No","Sí","29","Tunjuelito","Venecia","3","4.568621","-74.146188","190","5.25","79000","124","62000","161000","302000","238100000","950000","950000"
"SHV-0467","Metrocuadrado","Arriendo","Apartamento","33","2","1","No","No","13","Bosa","Apogeo","2","4.6263","-74.219164","160","6.24","34000","103","52000","19000","105000","85300000","370000","370000"
"SHV-0468","UAECD-OTC","Venta","Casa","41","1","1","No","No","34","Kennedy","Calandaima","3","4.632267","-74.159053","230","3.95","62000","150","64000","0","126000","163700000","690000","163700000"
"SHV-0469","Habi","Venta","Apartamento","131","3","2","Sí","No","25","Fontibón","Fontibón","4","4.655091","-74.170211","200","4.93","88000","271","165000","657000","910000","970700000","4950000","970700000"
"SHV-0470","FincaRaíz","Venta","Apartamento","83","3","3","No","Sí","26","Engativá","Santa Cecilia","3","4.701861","-74.111609","175","5.75","53000","189","99000","167000","319000","349400000","1630000","349400000"
"SHV-0471","UAECD-OTC","Venta","Apartamento","59","4","3","Sí","No","24","Suba","Casa Blanca Suba","3","4.755851","-74.112975","195","5.09","35000","171","78000","149000","262000","267300000","1360000","267300000"
